,Survived,Pclass,Embarked(C),Embarked(S),Sex,Age,SibSp,Parch
0,0,3,0,1,0,22.0,1,0
1,1,1,1,0,1,38.0,1,0
2,1,3,0,1,1,26.0,0,0
3,1,1,0,1,1,35.0,1,0
4,0,3,0,1,0,35.0,0,0
5,0,3,0,0,0,31.85281798323866,0,0
6,0,1,0,1,0,54.0,0,0
7,0,3,0,1,0,2.0,3,1
8,1,3,0,1,1,27.0,0,2
9,1,2,1,0,1,14.0,1,0
10,1,3,0,1,1,4.0,1,1
11,1,1,0,1,1,58.0,0,0
12,0,3,0,1,0,20.0,0,0
13,0,3,0,1,0,39.0,1,5
14,0,3,0,1,1,14.0,0,0
15,1,2,0,1,1,55.0,0,0
16,0,3,0,0,0,2.0,4,1
17,1,2,0,1,0,35.500702879165715,0,0
18,0,3,0,1,1,31.0,1,0
19,1,3,1,0,1,22.832498513212833,0,0
20,0,2,0,1,0,35.0,0,0
21,1,2,0,1,0,34.0,0,0
22,1,3,0,0,1,15.0,0,0
23,1,1,0,1,0,28.0,0,0
24,0,3,0,1,1,8.0,3,1
25,1,3,0,1,1,38.0,1,5
26,0,3,1,0,0,26.079952529039385,0,0
27,0,1,0,1,0,19.0,3,2
28,1,3,0,0,1,28.61362244647913,0,0
29,0,3,0,1,0,28.318867367743113,0,0
30,0,1,1,0,0,40.0,0,0
31,1,1,1,0,1,31.46291780231845,1,0
32,1,3,0,0,1,28.615464952946855,0,0
33,0,2,0,1,0,66.0,0,0
34,0,1,1,0,0,28.0,1,0
35,0,1,0,1,0,42.0,1,0
36,1,3,1,0,0,26.0798926333183,0,0
37,0,3,0,1,0,21.0,0,0
38,0,3,0,1,1,18.0,2,0
39,1,3,1,0,1,14.0,1,0
40,0,3,0,1,1,40.0,1,0
41,0,2,0,1,1,27.0,1,0
42,0,3,1,0,0,26.070386326728627,0,0
43,1,2,1,0,1,3.0,1,2
44,1,3,0,0,1,19.0,0,0
45,0,3,0,1,0,28.31666833912606,0,0
46,0,3,0,0,0,27.86004606070652,1,0
47,1,3,0,0,1,28.615464952946855,0,0
48,0,3,1,0,0,18.089120747456278,2,0
49,0,3,0,1,1,18.0,1,0
50,0,3,0,1,0,7.0,4,1
51,0,3,0,1,0,21.0,0,0
52,1,1,1,0,1,49.0,1,0
53,1,2,0,1,1,29.0,1,0
54,0,1,1,0,0,65.0,0,1
55,1,1,0,1,0,42.434458870377426,0,0
56,1,2,0,1,1,21.0,0,0
57,0,3,1,0,0,28.5,0,0
58,1,2,0,1,1,5.0,1,2
59,0,3,0,1,0,11.0,5,2
60,0,3,1,0,0,22.0,0,0
61,1,1,0,0,1,38.0,0,0
62,0,1,0,1,0,45.0,1,0
63,0,3,0,1,0,4.0,3,2
64,0,1,1,0,0,40.2969161135249,0,0
65,1,3,1,0,0,21.303181165062682,1,1
66,1,2,0,1,1,29.0,0,0
67,0,3,0,1,0,19.0,0,0
68,1,3,0,1,1,17.0,4,2
69,0,3,0,1,0,26.0,2,0
70,0,2,0,1,0,32.0,0,0
71,0,3,0,1,1,16.0,5,2
72,0,2,0,1,0,21.0,0,0
73,0,3,1,0,0,26.0,1,0
74,1,3,0,1,0,32.0,0,0
75,0,3,0,1,0,25.0,0,0
76,0,3,0,1,0,28.318867367743113,0,0
77,0,3,0,1,0,28.31666833912606,0,0
78,1,2,0,1,0,0.83,0,2
79,1,3,0,1,1,30.0,0,0
80,0,3,0,1,0,22.0,0,0
81,1,3,0,1,0,29.0,0,0
82,1,3,0,0,1,28.61493016972286,0,0
83,0,1,0,1,0,28.0,0,0
84,1,2,0,1,1,17.0,0,0
85,1,3,0,1,1,33.0,3,0
86,0,3,0,1,0,16.0,1,3
87,0,3,0,1,0,28.31666833912606,0,0
88,1,1,0,1,1,23.0,3,2
89,0,3,0,1,0,24.0,0,0
90,0,3,0,1,0,29.0,0,0
91,0,3,0,1,0,20.0,0,0
92,0,1,0,1,0,46.0,1,0
93,0,3,0,1,0,26.0,1,2
94,0,3,0,1,0,59.0,0,0
95,0,3,0,1,0,28.31666833912606,0,0
96,0,1,1,0,0,71.0,0,0
97,1,1,1,0,0,23.0,0,1
98,1,2,0,1,1,34.0,0,1
99,0,2,0,1,0,34.0,1,0
100,0,3,0,1,1,28.0,0,0
101,0,3,0,1,0,28.318867367743113,0,0
102,0,1,0,1,0,21.0,0,1
103,0,3,0,1,0,33.0,0,0
104,0,3,0,1,0,37.0,2,0
105,0,3,0,1,0,28.0,0,0
106,1,3,0,1,1,21.0,0,0
107,1,3,0,1,0,28.320590082768664,0,0
108,0,3,0,1,0,38.0,0,0
109,1,3,0,0,1,24.48923538121263,1,0
110,0,1,0,1,0,47.0,0,0
111,0,3,1,0,1,14.5,1,0
112,0,3,0,1,0,22.0,0,0
113,0,3,0,1,1,20.0,1,0
114,0,3,1,0,1,17.0,0,0
115,0,3,0,1,0,21.0,0,0
116,0,3,0,0,0,70.5,0,0
117,0,2,0,1,0,29.0,1,0
118,0,1,1,0,0,24.0,0,1
119,0,3,0,1,1,2.0,4,2
120,0,2,0,1,0,21.0,2,0
121,0,3,0,1,0,28.31666833912606,0,0
122,0,2,1,0,0,32.5,1,0
123,1,2,0,1,1,32.5,0,0
124,0,1,0,1,0,54.0,0,1
125,1,3,1,0,0,12.0,1,0
126,0,3,0,0,0,31.862918968773407,0,0
127,1,3,0,1,0,24.0,0,0
128,1,3,1,0,1,17.954296597752432,1,1
129,0,3,0,1,0,45.0,0,0
130,0,3,1,0,0,33.0,0,0
131,0,3,0,1,0,20.0,0,0
132,0,3,0,1,1,47.0,1,0
133,1,2,0,1,1,29.0,1,0
134,0,2,0,1,0,25.0,0,0
135,0,2,1,0,0,23.0,0,0
136,1,1,0,1,1,19.0,0,2
137,0,1,0,1,0,37.0,1,0
138,0,3,0,1,0,16.0,0,0
139,0,1,1,0,0,24.0,0,0
140,0,3,1,0,1,21.178041583023166,0,2
141,1,3,0,1,1,22.0,0,0
142,1,3,0,1,1,24.0,1,0
143,0,3,0,0,0,19.0,0,0
144,0,2,0,1,0,18.0,0,0
145,0,2,0,1,0,19.0,1,1
146,1,3,0,1,0,27.0,0,0
147,0,3,0,1,1,9.0,2,2
148,0,2,0,1,0,36.5,0,2
149,0,2,0,1,0,42.0,0,0
150,0,2,0,1,0,51.0,0,0
151,1,1,0,1,1,22.0,1,0
152,0,3,0,1,0,55.5,0,0
153,0,3,0,1,0,40.5,0,2
154,0,3,0,1,0,28.327185742531224,0,0
155,0,1,1,0,0,51.0,0,1
156,1,3,0,0,1,16.0,0,0
157,0,3,0,1,0,30.0,0,0
158,0,3,0,1,0,28.307933546467535,0,0
159,0,3,0,1,0,0.42,8,2
160,0,3,0,1,0,44.0,0,1
161,1,2,0,1,1,40.0,0,0
162,0,3,0,1,0,26.0,0,0
163,0,3,0,1,0,17.0,0,0
164,0,3,0,1,0,1.0,4,1
165,1,3,0,1,0,9.0,0,2
166,1,1,0,1,1,38.13888097008707,0,1
167,0,3,0,1,1,45.0,1,4
168,0,1,0,1,0,42.571006853569884,0,0
169,0,3,0,1,0,28.0,0,0
170,0,1,0,1,0,61.0,0,0
171,0,3,0,0,0,4.0,4,1
172,1,3,0,1,1,1.0,1,1
173,0,3,0,1,0,21.0,0,0
174,0,1,1,0,0,56.0,0,0
175,0,3,0,1,0,18.0,1,1
176,0,3,0,1,0,15.621201033083992,3,1
177,0,1,1,0,1,50.0,0,0
178,0,2,0,1,0,30.0,0,0
179,0,3,0,1,0,36.0,0,0
180,0,3,0,1,1,0.42,8,2
181,0,2,1,0,0,33.22298702190638,0,0
182,0,3,0,1,0,9.0,4,2
183,1,2,0,1,0,1.0,2,1
184,1,3,0,1,1,4.0,0,2
185,0,1,0,1,0,42.227676023767444,0,0
186,1,3,0,0,1,24.612592044879964,1,0
187,1,1,0,1,0,45.0,0,0
188,0,3,0,0,0,40.0,1,1
189,0,3,0,1,0,36.0,0,0
190,1,2,0,1,1,32.0,0,0
191,0,2,0,1,0,19.0,0,0
192,1,3,0,1,1,19.0,1,0
193,1,2,0,1,0,3.0,1,1
194,1,1,1,0,1,44.0,0,0
195,1,1,1,0,1,58.0,0,0
196,0,3,0,0,0,31.862918968773407,0,0
197,0,3,0,1,0,42.0,0,1
198,1,3,0,0,1,28.615464952946855,0,0
199,0,2,0,1,1,24.0,0,0
200,0,3,0,1,0,28.0,0,0
201,0,3,0,1,0,0.42,8,2
202,0,3,0,1,0,34.0,0,0
203,0,3,1,0,0,45.5,0,0
204,1,3,0,1,0,18.0,0,0
205,0,3,0,1,1,2.0,0,1
206,0,3,0,1,0,32.0,1,0
207,1,3,1,0,0,26.0,0,0
208,1,3,0,0,1,16.0,0,0
209,1,1,1,0,0,40.0,0,0
210,0,3,0,1,0,24.0,0,0
211,1,2,0,1,1,35.0,0,0
212,0,3,0,1,0,22.0,0,0
213,0,2,0,1,0,30.0,0,0
214,0,3,0,0,0,27.970567926998065,1,0
215,1,1,1,0,1,31.0,1,0
216,1,3,0,1,1,27.0,0,0
217,0,2,0,1,0,42.0,1,0
218,1,1,1,0,1,32.0,0,0
219,0,2,0,1,0,30.0,0,0
220,1,3,0,1,0,16.0,0,0
221,0,2,0,1,0,27.0,0,0
222,0,3,0,1,0,51.0,0,0
223,0,3,0,1,0,28.318867367743113,0,0
224,1,1,0,1,0,38.0,1,0
225,0,3,0,1,0,22.0,0,0
226,1,2,0,1,0,19.0,0,0
227,0,3,0,1,0,20.5,0,0
228,0,2,0,1,0,18.0,0,0
229,0,3,0,1,1,12.373747017257443,3,1
230,1,1,0,1,1,35.0,1,0
231,0,3,0,1,0,29.0,0,0
232,0,2,0,1,0,59.0,0,0
233,1,3,0,1,1,5.0,4,2
234,0,2,0,1,0,24.0,0,0
235,0,3,0,1,1,25.07634476628606,0,0
236,0,2,0,1,0,44.0,1,0
237,1,2,0,1,1,8.0,0,2
238,0,2,0,1,0,19.0,0,0
239,0,2,0,1,0,33.0,0,0
240,0,3,1,0,1,18.837052674560738,1,0
241,1,3,0,0,1,24.612592044879964,1,0
242,0,2,0,1,0,29.0,0,0
243,0,3,0,1,0,22.0,0,0
244,0,3,1,0,0,30.0,0,0
245,0,1,0,0,0,44.0,2,0
246,0,3,0,1,1,25.0,0,0
247,1,2,0,1,1,24.0,0,2
248,1,1,0,1,0,37.0,1,1
249,0,2,0,1,0,54.0,1,0
250,0,3,0,1,0,28.328077047904543,0,0
251,0,3,0,1,1,29.0,1,1
252,0,1,0,1,0,62.0,0,0
253,0,3,0,1,0,30.0,1,0
254,0,3,0,1,1,41.0,0,2
255,1,3,1,0,1,29.0,0,2
256,1,1,1,0,1,36.31532309651182,0,0
257,1,1,0,1,1,30.0,0,0
258,1,1,1,0,1,35.0,0,0
259,1,2,0,1,1,50.0,0,1
260,0,3,0,0,0,31.862918968773407,0,0
261,1,3,0,1,0,3.0,4,2
262,0,1,0,1,0,52.0,1,1
263,0,1,0,1,0,40.0,0,0
264,0,3,0,0,1,28.615464952946855,0,0
265,0,2,0,1,0,36.0,0,0
266,0,3,0,1,0,16.0,4,1
267,1,3,0,1,0,25.0,1,0
268,1,1,0,1,1,58.0,0,1
269,1,1,0,1,1,35.0,0,0
270,0,1,0,1,0,42.49863285725639,0,0
271,1,3,0,1,0,25.0,0,0
272,1,2,0,1,1,41.0,0,1
273,0,1,1,0,0,37.0,0,1
274,1,3,0,0,1,28.615464952946855,0,0
275,1,1,0,1,1,63.0,1,0
276,0,3,0,1,1,45.0,0,0
277,0,2,0,1,0,35.686094396816046,0,0
278,0,3,0,0,0,7.0,4,1
279,1,3,0,1,1,35.0,1,1
280,0,3,0,0,0,65.0,0,0
281,0,3,0,1,0,28.0,0,0
282,0,3,0,1,0,16.0,0,0
283,1,3,0,1,0,19.0,0,0
284,0,1,0,1,0,42.5699372871219,0,0
285,0,3,1,0,0,33.0,0,0
286,1,3,0,1,0,30.0,0,0
287,0,3,0,1,0,22.0,0,0
288,1,2,0,1,0,42.0,0,0
289,1,3,0,0,1,22.0,0,0
290,1,1,0,1,1,26.0,0,0
291,1,1,1,0,1,19.0,1,0
292,0,2,1,0,0,36.0,0,0
293,0,3,0,1,1,24.0,0,0
294,0,3,0,1,0,24.0,0,0
295,0,1,1,0,0,40.2969161135249,0,0
296,0,3,1,0,0,23.5,0,0
297,0,1,0,1,1,2.0,1,2
298,1,1,0,1,0,42.50576330024294,0,0
299,1,1,1,0,1,50.0,0,1
300,1,3,0,0,1,28.615464952946855,0,0
301,1,3,0,0,0,23.857173152639632,2,0
302,0,3,0,1,0,19.0,0,0
303,1,2,0,0,1,35.8044908030771,0,0
304,0,3,0,1,0,28.31666833912606,0,0
305,1,1,0,1,0,0.92,1,2
306,1,1,1,0,1,35.863491167960234,0,0
307,1,1,1,0,1,17.0,1,0
308,0,2,1,0,0,30.0,1,0
309,1,1,1,0,1,30.0,0,0
310,1,1,1,0,1,24.0,0,0
311,1,1,1,0,1,18.0,2,2
312,0,2,0,1,1,26.0,1,1
313,0,3,0,1,0,28.0,0,0
314,0,2,0,1,0,43.0,1,1
315,1,3,0,1,1,26.0,0,0
316,1,2,0,1,1,24.0,1,0
317,0,2,0,1,0,54.0,0,0
318,1,1,0,1,1,31.0,0,2
319,1,1,1,0,1,40.0,1,1
320,0,3,0,1,0,22.0,0,0
321,0,3,0,1,0,27.0,0,0
322,1,2,0,0,1,30.0,0,0
323,1,2,0,1,1,22.0,1,1
324,0,3,0,1,0,0.42,8,2
325,1,1,1,0,1,36.0,0,0
326,0,3,0,1,0,61.0,0,0
327,1,2,0,1,1,36.0,0,0
328,1,3,0,1,1,31.0,1,1
329,1,1,1,0,1,16.0,0,1
330,1,3,0,0,1,20.609719136813084,2,0
331,0,1,0,1,0,45.5,0,0
332,0,1,0,1,0,38.0,0,1
333,0,3,0,1,0,16.0,2,0
334,1,1,0,1,1,33.89494785451554,1,0
335,0,3,0,1,0,28.318867367743113,0,0
336,0,1,0,1,0,29.0,1,0
337,1,1,1,0,1,41.0,0,0
338,1,3,0,1,0,45.0,0,0
339,0,1,0,1,0,45.0,0,0
340,1,2,0,1,0,2.0,1,1
341,1,1,0,1,1,24.0,3,2
342,0,2,0,1,0,28.0,0,0
343,0,2,0,1,0,25.0,0,0
344,0,2,0,1,0,36.0,0,0
345,1,2,0,1,1,24.0,0,0
346,1,2,0,1,1,40.0,0,0
347,1,3,0,1,1,21.06206314944069,1,0
348,1,3,0,1,0,3.0,1,1
349,0,3,0,1,0,42.0,0,0
350,0,3,0,1,0,23.0,0,0
351,0,1,0,1,0,42.44158931336398,0,0
352,0,3,1,0,0,15.0,1,1
353,0,3,0,1,0,25.0,1,0
354,0,3,1,0,0,26.079952529039385,0,0
355,0,3,0,1,0,28.0,0,0
356,1,1,0,1,1,22.0,0,1
357,0,2,0,1,1,38.0,0,0
358,1,3,0,0,1,28.61362244647913,0,0
359,1,3,0,0,1,28.61362244647913,0,0
360,0,3,0,1,0,40.0,1,4
361,0,2,1,0,0,29.0,1,0
362,0,3,1,0,1,45.0,0,1
363,0,3,0,1,0,35.0,0,0
364,0,3,0,0,0,27.86004606070652,1,0
365,0,3,0,1,0,30.0,0,0
366,1,1,1,0,1,60.0,1,0
367,1,3,1,0,1,22.832438617491746,0,0
368,1,3,0,0,1,28.615464952946855,0,0
369,1,1,1,0,1,24.0,0,0
370,1,1,1,0,0,25.0,1,0
371,0,3,0,1,0,18.0,1,0
372,0,3,0,1,0,19.0,0,0
373,0,1,1,0,0,22.0,0,0
374,0,3,0,1,1,3.0,3,1
375,1,1,1,0,1,32.380605814687584,1,0
376,1,3,0,1,1,22.0,0,0
377,0,1,1,0,0,27.0,0,2
378,0,3,1,0,0,20.0,0,0
379,0,3,0,1,0,19.0,0,0
380,1,1,1,0,1,42.0,0,0
381,1,3,1,0,1,1.0,0,2
382,0,3,0,1,0,32.0,0,0
383,1,1,0,1,1,35.0,1,0
384,0,3,0,1,0,28.318867367743113,0,0
385,0,2,0,1,0,18.0,0,0
386,0,3,0,1,0,1.0,5,2
387,1,2,0,1,1,36.0,0,0
388,0,3,0,0,0,31.863215595201645,0,0
389,1,2,1,0,1,17.0,0,0
390,1,1,0,1,0,36.0,1,2
391,1,3,0,1,0,21.0,0,0
392,0,3,0,1,0,28.0,2,0
393,1,1,1,0,1,23.0,1,0
394,1,3,0,1,1,24.0,0,2
395,0,3,0,1,0,22.0,0,0
396,0,3,0,1,1,31.0,0,0
397,0,2,0,1,0,46.0,0,0
398,0,2,0,1,0,23.0,0,0
399,1,2,0,1,1,28.0,0,0
400,1,3,0,1,0,39.0,0,0
401,0,3,0,1,0,26.0,0,0
402,0,3,0,1,1,21.0,1,0
403,0,3,0,1,0,28.0,1,0
404,0,3,0,1,1,20.0,0,0
405,0,2,0,1,0,34.0,1,0
406,0,3,0,1,0,51.0,0,0
407,1,2,0,1,0,3.0,1,1
408,0,3,0,1,0,21.0,0,0
409,0,3,0,1,1,12.373747017257443,3,1
410,0,3,0,1,0,28.318867367743113,0,0
411,0,3,0,0,0,31.87563540079562,0,0
412,1,1,0,0,1,33.0,1,0
413,0,2,0,1,0,35.686094396816046,0,0
414,1,3,0,1,0,44.0,0,0
415,0,3,0,1,1,25.06921432329951,0,0
416,1,2,0,1,1,34.0,1,1
417,1,2,0,1,1,18.0,0,2
418,0,2,0,1,0,30.0,0,0
419,0,3,0,1,1,10.0,0,2
420,0,3,1,0,0,26.070386326728627,0,0
421,0,3,0,0,0,21.0,0,0
422,0,3,0,1,0,29.0,0,0
423,0,3,0,1,1,28.0,1,1
424,0,3,0,1,0,18.0,1,1
425,0,3,0,1,0,28.328077047904543,0,0
426,1,2,0,1,1,28.0,1,0
427,1,2,0,1,1,19.0,0,0
428,0,3,0,0,0,31.862918968773407,0,0
429,1,3,0,1,0,32.0,0,0
430,1,1,0,1,0,28.0,0,0
431,1,3,0,1,1,21.06206314944069,1,0
432,1,2,0,1,1,42.0,1,0
433,0,3,0,1,0,17.0,0,0
434,0,1,0,1,0,50.0,1,0
435,1,1,0,1,1,14.0,1,2
436,0,3,0,1,1,21.0,2,2
437,1,2,0,1,1,24.0,2,3
438,0,1,0,1,0,64.0,1,4
439,0,2,0,1,0,31.0,0,0
440,1,2,0,1,1,45.0,1,1
441,0,3,0,1,0,20.0,0,0
442,0,3,0,1,0,25.0,1,0
443,1,2,0,1,1,28.0,0,0
444,1,3,0,1,0,28.31577703375274,0,0
445,1,1,0,1,0,4.0,0,2
446,1,2,0,1,1,13.0,0,1
